ambient_temp,humidity,body_temp,duration,hour,heat_index,risk_label
25.2,22.2,36.6,15.0,7,25.15,0
25.5,29.3,36.5,15.0,9,25.57,0
27.2,20.9,36.6,5.0,9,26.24,0
37.4,33.0,30.03,9.8,14,39.4,1
30.2,46.0,29.39,5.6,10,30.72,1
32.3,39.0,31.41,3.6,20,32.53,1
30.2,46.0,29.43,1.6,10,30.72,1
27.9,29.1,36.3,20.0,9,26.98,0
25.7,29.9,37.1,20.0,10,25.69,0
26.4,24.2,36.2,15.0,8,25.86,0
26.5,28.4,36.2,10.0,10,26.06,0
32.3,39.0,30.53,7.7,20,32.53,1
42.0,29.0,34.75,5.1,14,46.67,1
32.3,41.0,30.93,1.0,13,32.91,1
33.3,63.6,37.2,15.0,9,41.7,1
39.3,55.0,38.6,30.0,12,56.03,2
26.5,28.3,36.2,5.0,8,26.06,0
39.5,62.2,38.0,30.0,13,62.47,2
27.4,36.9,37.1,15.0,10,27.0,0
25.2,27.3,36.5,5.0,8,25.36,0
42.5,28.0,34.75,5.4,14,47.15,1
29.1,39.2,37.6,20.0,11,28.64,1
25.9,28.9,36.1,15.0,10,25.75,0
30.2,46.0,29.49,3.5,10,30.72,1
42.9,78.8,40.4,75.0,16,99.1,3
32.3,41.0,30.77,32.5,21,32.91,1
41.6,75.1,38.6,30.0,12,86.15,2
32.3,39.0,30.67,11.2,20,32.53,1
42.6,86.0,40.4,105.0,15,107.53,3
32.3,41.0,30.63,32.0,21,32.91,1
25.9,51.9,37.1,10.0,8,26.55,0
31.8,40.0,30.51,28.9,21,31.99,1
44.9,97.2,40.6,120.0,13,146.11,3
41.9,68.0,39.9,60.0,15,79.4,3
25.9,25.1,37.1,15.0,9,25.62,0
25.9,20.1,37.3,5.0,7,25.44,0
41.1,59.8,38.9,60.0,15,67.05,2
40.1,87.3,40.5,120.0,17,91.8,3
49.9,96.5,39.5,90.0,16,195.59,3
26.3,21.8,37.3,10.0,9,25.72,0
39.3,50.5,38.0,45.0,11,52.86,2
42.8,51.3,38.1,90.0,16,65.85,2
32.3,39.0,31.67,1.0,20,32.53,1
32.3,39.0,31.53,2.2,20,32.53,1
34.2,39.0,30.51,2.5,14,35.52,1
43.0,75.6,38.4,90.0,14,95.28,2
40.8,48.8,38.8,30.0,13,56.51,2
41.3,69.8,39.5,60.0,17,78.29,3
37.6,56.6,37.7,20.0,11,51.33,1
25.4,23.3,36.4,20.0,10,25.3,0
46.6,63.9,39.1,90.0,13,100.03,3
48.4,73.5,40.4,120.0,16,128.9,3
25.0,23.5,37.0,15.0,9,25.11,0
35.3,46.4,37.4,30.0,10,39.98,1
25.7,26.1,36.7,10.0,9,25.55,0
35.8,60.8,37.6,30.0,9,47.94,1
25.3,30.9,36.5,20.0,6,25.54,0
32.3,39.0,31.41,5.7,20,32.53,1
25.1,26.0,36.8,10.0,8,25.26,0
27.6,29.8,36.3,10.0,6,26.8,0
26.1,28.5,36.9,20.0,6,25.84,0
46.7,63.7,39.8,105.0,14,100.31,3
48.8,87.8,40.1,105.0,16,162.8,3
42.0,77.8,38.7,45.0,15,91.97,2
32.3,39.0,31.75,0.8,20,32.53,1
28.1,25.1,36.1,5.0,8,26.97,0
39.7,73.0,38.1,60.0,11,73.38,2
27.1,27.5,36.9,20.0,10,26.39,0
36.1,60.5,38.8,60.0,13,48.74,2
49.0,74.7,41.0,90.0,13,135.88,3
26.4,31.1,36.4,10.0,9,26.1,0
32.3,39.0,31.41,2.8,20,32.53,1
32.3,39.0,30.47,7.7,20,32.53,1
32.3,39.0,31.41,10.0,20,32.53,1
41.1,28.0,33.63,8.0,14,44.35,1
26.1,49.6,36.1,5.0,6,26.63,0
30.2,46.0,29.51,5.8,10,30.72,1
26.4,47.2,37.2,5.0,8,26.76,0
25.4,37.8,36.4,20.0,7,25.81,0
42.5,54.4,38.2,30.0,12,67.68,2
40.7,61.0,38.4,60.0,11,66.46,2
32.9,69.1,37.4,45.0,12,42.77,1
43.6,50.6,38.4,90.0,15,68.29,2
26.9,23.2,36.8,5.0,10,26.12,0
32.2,54.2,37.7,45.0,13,35.84,1
25.5,33.1,36.7,5.0,9,25.7,0
30.2,46.0,29.43,7.5,10,30.72,1
30.2,46.0,29.49,3.9,10,30.72,1
40.1,72.4,39.4,105.0,14,74.83,3
35.0,57.8,38.7,30.0,12,44.01,2
41.4,48.1,38.5,90.0,13,57.97,2
32.3,41.0,30.57,31.4,21,32.91,1
32.3,39.0,31.29,5.3,20,32.53,1
26.1,26.1,36.8,10.0,9,25.76,0
32.3,41.0,31.15,32.4,21,32.91,1
45.3,80.3,40.0,75.0,12,118.28,3
29.2,69.1,37.6,30.0,11,32.99,1
36.8,81.5,38.5,45.0,16,66.33,2
31.8,41.0,30.63,28.2,21,32.17,1
32.3,39.0,31.53,2.7,20,32.53,1
25.2,34.5,37.2,15.0,10,25.61,0
26.4,48.2,36.8,20.0,9,26.8,0
27.4,32.6,36.4,15.0,7,26.79,0
48.3,91.3,39.9,105.0,14,166.1,3
32.3,41.0,30.65,31.3,21,32.91,1
32.3,39.0,30.65,8.4,20,32.53,1
42.5,28.0,34.47,5.6,14,47.15,1
27.4,28.4,37.2,5.0,8,26.61,0
40.5,82.9,39.3,60.0,12,88.98,3
25.4,39.9,36.5,10.0,8,25.87,0
26.8,31.2,36.3,10.0,10,26.34,0
25.6,25.7,36.6,10.0,7,25.49,0
40.8,61.9,38.2,90.0,12,67.74,2
30.2,46.0,29.65,6.8,10,30.72,1
26.3,53.3,36.4,5.0,10,26.95,0
43.8,82.5,38.3,30.0,13,110.88,2
25.7,49.3,36.5,10.0,6,26.32,0
27.6,28.3,36.9,5.0,6,26.74,0
32.3,39.0,30.53,8.1,20,32.53,1
26.7,34.8,36.6,15.0,6,26.43,0
25.5,27.9,37.0,20.0,9,25.52,0
26.6,44.7,36.8,10.0,9,26.8,0
46.5,79.8,39.8,60.0,17,126.49,3
32.3,39.0,31.43,6.7,20,32.53,1
25.0,28.4,36.8,20.0,8,25.31,0
44.6,84.8,39.2,105.0,14,120.68,3
26.5,20.5,37.2,10.0,7,25.8,0
42.6,88.8,39.0,60.0,16,111.79,3
35.1,47.3,37.6,45.0,12,39.87,1
37.2,54.3,37.6,45.0,13,48.68,1
48.8,75.4,40.5,120.0,16,135.76,3
33.0,32.1,37.9,45.0,14,32.31,1
26.9,39.5,37.0,10.0,9,26.77,0
25.4,33.1,37.1,20.0,9,25.66,0
41.3,82.1,38.7,60.0,15,93.11,2
38.7,74.9,38.3,45.0,15,70.13,2
42.5,81.2,40.7,75.0,12,99.83,3
43.7,60.3,38.8,45.0,15,79.48,2
43.5,27.0,24.81,6.7,14,48.64,1
32.3,39.0,31.43,6.0,20,32.53,1
39.6,78.9,38.3,60.0,16,78.98,2
40.5,79.6,38.5,60.0,12,85.03,2
40.5,99.2,39.7,75.0,15,110.79,3
41.0,77.0,38.4,60.0,15,84.92,2
41.0,92.1,39.5,60.0,15,104.55,3
32.0,61.2,37.5,45.0,12,37.44,1
38.5,36.1,37.4,45.0,10,42.78,1
36.0,60.6,38.7,30.0,12,48.47,2
38.3,67.6,37.5,15.0,9,61.88,1
27.7,21.7,37.2,15.0,7,26.58,0
25.1,33.1,36.5,20.0,10,25.52,0
39.1,49.5,38.8,45.0,14,51.58,2
40.4,73.2,39.0,105.0,14,77.26,3
41.0,88.3,39.8,60.0,12,99.29,3
25.2,22.5,36.2,10.0,6,25.17,0
32.3,39.0,30.71,0.3,20,32.53,1
34.6,63.9,37.7,45.0,9,45.73,1
36.4,51.0,37.4,30.0,10,44.65,1
42.3,48.1,38.5,90.0,11,61.07,2
32.3,39.0,31.43,4.9,20,32.53,1
25.5,23.4,36.5,15.0,7,25.35,0
29.5,38.9,37.3,20.0,12,29.02,1
34.7,39.0,28.39,2.6,14,36.38,1
26.3,31.8,36.5,5.0,6,26.07,0
32.3,39.0,31.39,5.1,20,32.53,1
36.3,65.0,38.2,45.0,13,52.1,2
37.4,34.0,29.79,9.7,14,39.75,1
26.9,21.5,36.3,15.0,7,26.07,0
33.8,52.4,37.6,20.0,13,38.77,1
25.2,22.2,36.4,20.0,9,25.15,0
35.9,62.1,38.8,45.0,12,48.98,2
27.8,27.6,36.9,20.0,9,26.85,0
28.1,20.9,36.7,5.0,10,26.83,0
35.5,50.5,37.3,30.0,9,42.1,1
32.3,41.0,30.63,31.6,21,32.91,1
35.6,73.7,38.8,90.0,16,54.96,2
35.7,50.4,38.8,90.0,12,42.55,2
41.7,63.9,38.0,30.0,13,73.88,2
32.3,39.0,31.57,9.4,20,32.53,1
27.6,29.5,36.8,20.0,6,26.79,0
44.8,68.4,39.5,60.0,15,96.12,3
37.7,68.5,37.9,30.0,9,60.03,1
27.1,23.2,37.2,20.0,8,26.24,0
32.3,39.0,31.41,3.4,20,32.53,1
25.9,41.7,37.0,5.0,10,26.2,0
39.3,55.3,38.1,90.0,12,56.25,2
37.0,75.0,38.6,45.0,15,62.01,2
39.2,72.6,38.0,45.0,14,70.46,2
28.9,44.0,35.81,0.3,8,28.88,1
25.6,37.5,37.3,15.0,9,25.9,0
30.2,46.0,29.43,4.8,10,30.72,1
36.4,51.3,38.3,60.0,11,44.8,2
39.4,69.1,38.7,45.0,16,68.14,2
44.8,99.5,39.0,75.0,12,149.72,3
26.1,38.3,36.2,5.0,8,26.2,0
26.8,22.6,37.3,5.0,6,26.04,0
33.8,40.0,26.29,2.1,14,35.09,1
26.2,45.5,36.3,20.0,10,26.54,0
37.8,74.1,38.9,30.0,13,65.01,2
45.5,62.1,39.4,105.0,14,91.12,3
36.4,80.6,38.8,90.0,13,63.58,2
30.2,46.0,29.49,7.6,10,30.72,1
26.4,23.1,37.4,10.0,10,25.82,0
45.0,65.0,39.4,120.0,17,92.43,3
43.5,48.8,38.2,60.0,16,66.1,2
27.5,24.6,37.0,20.0,8,26.54,0
27.1,30.4,36.9,10.0,6,26.5,0
41.4,79.5,38.6,90.0,13,90.42,2
42.2,77.4,38.7,90.0,14,92.7,2
42.0,30.0,35.43,4.9,14,47.23,1
34.7,69.3,37.8,30.0,13,48.86,1
41.1,28.0,33.43,7.9,14,44.35,1
38.1,72.8,38.4,60.0,11,65.32,2
27.7,22.7,37.4,10.0,10,26.61,0
40.7,74.2,38.7,90.0,14,79.98,2
25.5,43.4,36.4,10.0,10,26.03,0
43.2,76.9,40.8,60.0,15,98.37,3
32.3,39.0,31.63,1.1,20,32.53,1
41.6,69.1,38.1,60.0,15,79.08,2
39.5,29.0,29.59,8.6,14,41.76,1
25.7,47.5,37.2,5.0,6,26.27,0
30.2,46.0,29.49,6.5,10,30.72,1
40.8,92.7,40.4,90.0,12,103.89,3
35.8,72.3,38.3,60.0,13,54.86,2
27.2,33.8,36.2,10.0,9,26.71,0
31.8,60.5,37.5,30.0,12,36.76,1
25.3,34.5,36.7,5.0,7,25.66,0
25.3,55.4,36.1,15.0,9,26.18,0
32.3,39.0,31.41,10.0,20,32.53,1
27.5,22.5,37.4,5.0,9,26.48,0
30.2,46.0,29.45,3.8,10,30.72,1
42.1,50.7,38.4,30.0,11,62.64,2
25.8,24.9,36.4,10.0,8,25.56,0
43.3,62.3,40.9,75.0,13,79.89,3
32.3,39.0,30.57,7.8,20,32.53,1
35.8,80.6,38.1,45.0,15,60.67,2
31.6,51.1,37.5,30.0,9,33.89,1
30.2,46.0,29.43,5.1,10,30.72,1
25.8,49.4,36.1,20.0,6,26.4,0
41.6,74.4,39.0,75.0,14,85.29,3
43.8,26.0,23.75,6.9,14,48.64,1
30.2,46.0,29.51,3.1,10,30.72,1
42.6,67.7,38.2,30.0,12,82.75,2
35.8,66.9,38.1,45.0,16,51.44,2
26.8,23.4,36.5,20.0,8,26.07,0
25.5,22.6,36.3,10.0,7,25.32,0
28.2,24.0,36.7,15.0,6,27.0,0
25.4,44.4,36.9,10.0,8,26.0,0
25.8,56.7,36.4,20.0,9,26.62,0
43.6,79.1,40.7,60.0,13,104.24,3
44.0,86.3,40.6,105.0,14,118.56,3
38.3,73.9,38.8,90.0,11,67.24,2
25.1,37.5,36.4,20.0,10,25.66,0
26.3,38.7,37.1,20.0,8,26.33,0
27.8,26.0,37.2,5.0,7,26.79,0
39.0,37.0,35.47,3.8,14,44.28,1
39.8,57.4,38.5,60.0,11,59.7,2
25.1,26.8,36.9,15.0,10,25.29,0
31.8,41.0,30.77,30.0,21,32.17,1
30.2,46.0,29.55,2.9,10,30.72,1
27.2,27.0,36.3,10.0,10,26.43,0
25.4,55.3,37.1,5.0,10,26.25,0
25.8,47.3,36.9,5.0,8,26.33,0
40.6,77.1,40.9,105.0,17,82.71,3
27.9,26.0,37.2,5.0,6,26.86,0
25.3,52.4,37.4,20.0,10,26.12,0
26.6,29.4,36.3,20.0,6,26.16,0
25.5,42.4,37.1,5.0,10,26.0,0
30.8,50.9,37.7,45.0,11,32.46,1
32.3,39.0,31.21,5.0,20,32.53,1
30.2,46.0,29.43,4.6,10,30.72,1
26.3,40.8,37.3,20.0,8,26.42,0
43.8,88.3,40.8,75.0,15,120.34,3
32.3,38.0,30.97,0.4,20,32.35,1
27.7,22.6,36.6,5.0,10,26.61,0
31.6,59.9,37.2,30.0,9,36.13,1
26.2,33.8,37.2,5.0,7,26.09,0
26.4,36.8,37.0,15.0,8,26.32,0
42.7,66.9,38.5,60.0,15,82.31,2
25.2,20.1,36.4,20.0,6,25.06,0
42.4,80.3,39.2,120.0,15,97.91,3
48.2,79.5,40.2,120.0,13,139.4,3
30.2,46.0,29.51,6.5,10,30.72,1
25.2,46.6,37.3,10.0,10,25.94,0
26.1,30.0,36.3,5.0,9,25.9,0
37.8,66.3,38.6,60.0,16,58.76,2
25.7,45.3,36.9,5.0,9,26.2,0
37.2,78.9,38.8,45.0,16,66.16,2
26.4,21.3,36.3,20.0,6,25.76,0
30.2,46.0,30.71,0.4,10,30.72,1
32.3,41.0,30.97,32.2,21,32.91,1
36.4,35.5,37.7,45.0,10,38.4,1
26.2,27.5,36.3,20.0,6,25.86,0
25.7,38.2,37.1,10.0,10,25.97,0
35.4,34.9,37.8,45.0,13,36.47,1
30.2,46.0,29.39,4.0,10,30.72,1
26.7,33.7,36.4,5.0,8,26.38,0
25.7,35.1,36.3,10.0,7,25.87,0
45.1,62.1,39.5,90.0,16,88.95,3
