ambient_temp,humidity,body_temp,duration,hour,heat_index,temp_humidity_stress,body_temp_deviation,time_of_day,wbgt,feels_like_delta,body_heat_ratio,rh_temp_product,cooling_capacity,is_afternoon,city,activity_level,risk_label
24.38,32.18,37.2,3.3,2,25.21,7.845,0.2,3,17.48,0.83,1.5258,784.5,67.8,0,Delhi,Light Work,Low Risk
37.11,43.83,38.81,150.9,13,43.09,16.265,1.81,1,30.1,5.98,1.0458,1626.5,56.2,1,Nagpur,Moderate Work,High Risk
33.79,66.88,38.69,91.3,14,44.59,22.599,1.69,1,30.16,10.8,1.145,2259.9,33.1,1,Mumbai,Moderate Work,High Risk
35.41,45.18,37.58,59.4,4,39.77,15.998,0.58,3,28.8,4.36,1.0613,1599.8,54.8,0,Pune,Light Work,Moderate Risk
27.87,54.03,36.52,12.3,4,28.67,15.058,-0.48,3,23.15,0.8,1.3104,1505.8,46.0,0,Chennai,Light Work,Low Risk
38.55,33.92,39.03,178.2,1,41.95,13.076,2.03,3,29.68,3.4,1.0125,1307.6,66.1,0,Jaipur,Rest,High Risk
30.47,16.31,37.23,40.0,19,28.53,4.97,0.23,2,19.74,-1.94,1.2219,497.0,83.7,0,Delhi,Rest,Low Risk
34.4,43.75,38.2,11.9,3,37.21,15.05,1.2,3,27.7,2.81,1.1105,1505.0,56.2,0,Bhubaneswar,Light Work,Moderate Risk
41.75,95.73,41.81,65.9,17,65.0,39.967,4.81,2,40.0,23.25,1.0014,3996.7,4.3,0,Mumbai,Light Work,Critical Risk
33.4,48.6,37.43,106.0,23,36.69,16.232,0.43,3,27.49,3.29,1.1207,1623.2,51.4,0,Nagpur,Moderate Work,Moderate Risk
43.35,55.73,41.46,99.3,9,65.0,24.159,4.46,0,37.55,21.65,0.9564,2415.9,44.3,0,Nagpur,Heavy Work,Critical Risk
48.21,98.0,40.73,151.0,10,65.0,47.246,3.73,0,40.0,16.79,0.8448,4724.6,2.0,0,Kolkata,Moderate Work,Critical Risk
38.25,43.63,38.84,107.2,3,45.79,16.688,1.84,3,31.07,7.54,1.0154,1668.8,56.4,0,Delhi,Moderate Work,High Risk
34.24,63.1,38.7,169.0,7,44.23,21.605,1.7,0,30.12,9.99,1.1303,2160.5,36.9,0,Pune,Rest,High Risk
36.47,47.5,39.67,42.2,5,43.19,17.323,2.67,0,30.08,6.72,1.0877,1732.3,52.5,0,Delhi,Light Work,High Risk
38.13,37.29,37.89,136.6,17,42.5,14.219,0.89,2,29.92,4.37,0.9937,1421.9,62.7,0,Jaipur,Rest,High Risk
32.36,25.15,36.16,33.6,15,30.7,8.139,-0.84,1,22.96,-1.66,1.1174,813.9,74.8,1,Chennai,Light Work,Low Risk
27.72,69.72,36.72,42.4,5,30.1,19.326,-0.28,0,24.72,2.38,1.3247,1932.6,30.3,0,Bhubaneswar,Heavy Work,Low Risk
48.46,57.75,42.01,149.0,16,65.0,27.986,5.01,1,40.0,16.54,0.8669,2798.6,42.2,1,Nagpur,Light Work,Critical Risk
37.45,47.42,38.88,64.1,0,45.67,17.759,1.88,3,30.95,8.22,1.0382,1775.9,52.6,0,Pune,Light Work,High Risk
31.54,69.48,37.57,36.5,17,38.91,21.914,0.57,2,28.32,7.37,1.1912,2191.4,30.5,0,Hyderabad,Rest,Moderate Risk
36.0,41.36,38.15,113.7,8,39.63,14.89,1.15,0,28.74,3.63,1.0597,1489.0,58.6,0,Delhi,Light Work,High Risk
33.1,54.07,38.15,80.1,20,37.74,17.897,1.15,2,27.93,4.64,1.1526,1789.7,45.9,0,Ahmedabad,Heavy Work,Moderate Risk
